Chip,NotTested,SubChipFamily,KWords,Data EEPROM,HEFWords,SAFWords,ProgMemRowSizeWords,RAM,I/O,ADC Channels,Max. Speed MHz,Int Oscillator (MHz),Parallel Port,USART,Pin Count,PWMTimerVariant,FixedConstants,SMTClockSourceVariant,ConfigBaseLoc,IntOSCCONFormat,READAD10BITFORCE,Stack,IDAddress,IDLength,NoBankRAM,31kSupport,SectorRAMAddress,SectorRAMAddressSize,WriteFlashBlockSize,EraseFlashBlockSize,ADCHelper,,,
PIC10F200,0,,0.25,0,0,0,,16,4,0,4,4,No,0,6,0,OSCCAL=3102,0,0,,,2,256,4,10:1F,,0,0,-1,-1,,,,
PIC10F202,0,,0.5,0,0,0,,24,4,0,4,4,No,0,6,0,OSCCAL=0x0C1E,0,0,,,2,512,4,8:1F,,0,0,-1,-1,,,,
PIC10F204,0,,0.25,0,0,0,,16,4,0,4,4,No,0,6,0,OSCCAL=0x0C1E,0,0,,,2,256,4,10:1F,,0,0,-1,-1,,,,
PIC10F206,0,,0.5,0,0,0,,24,4,0,4,4,No,0,6,0,OSCCAL=0x0C1E,0,0,,,2,512,4,8:1F,,0,0,-1,-1,,,,
PIC10F220,0,,0.25,0,0,0,,16,4,2,8,0.84,No,0,6,0,OSCCAL=0x0C1E,0,0,,,2,256,4,10:1F,,0,0,-1,-1,AN{0..34} Usage:AN0..AN34,,,
PIC10F222,0,,0.5,0,0,0,,23,,2,8,0.84,No,0,6,0,OSCCAL=0x0C1E,0,0,,,2,512,4,9:1F,,0,0,-1,-1,AN{0..34} Usage:AN0..AN34,,,
PIC10F320,0,,0.256,0,0,0,,64,4,3,16,0.16125,No,0,6,0,,0,0,1,,8,8192,4,20:5F,INTOSC|OSCCON|0,0,0,16,16,AN{0..34} Usage:AN0..AN34,,,
PIC10F322,0,,0.512,0,0,0,,64,4,3,16,0.16125,No,0,6,0,,0,0,1,,8,8192,4,20:5F,INTOSC|OSCCON|2,0,0,16,16,AN{0..34} Usage:AN0..AN34,,,
PIC12C508,0,,0.5,,0,0,,25,6,0,4,,No,0,8,0,,0,0,,,2,,,,,0,0,-1,-1,,,,
PIC12C508A,0,,0.5,,0,0,,25,6,0,4,,No,0,8,0,,0,0,,,2,,,,,0,0,-1,-1,,,,
PIC12C509,0,,1,,0,0,,41,6,0,4,,No,0,8,0,,0,0,,,2,,,,,0,0,-1,-1,,,,
PIC12C509A,0,,1,,0,0,,41,6,0,4,,No,0,8,0,,0,0,,,2,,,,,0,0,-1,-1,,,,
PIC12C671,0,,1,,0,0,,128,6,4,10,,No,0,8,0,,0,0,,,2,,,,,0,0,-1,-1,AN{0..34} Usage:AN0..AN34,,,
PIC12C672,0,,2,,0,0,,128,6,4,10,,No,0,8,0,,0,0,,,2,,,,,0,0,-1,-1,AN{0..34} Usage:AN0..AN34,,,
PIC12CE518,0,,0.5,,0,0,,25,6,0,4,,No,0,8,0,,0,0,,,2,,,,,0,0,-1,-1,,,,
PIC12CE519,0,,1,,0,0,,41,6,0,4,,No,0,8,0,,0,0,,,2,,,,,0,0,-1,-1,,,,
PIC12CE673,0,,1,,0,0,,128,6,4,10,,No,0,8,0,,0,0,,,2,,,,,0,0,-1,-1,AN{0..34} Usage:AN0..AN34,,,
PIC12CE674,0,,2,,0,0,,128,6,4,10,,No,0,8,0,,0,0,,,2,,,,,0,0,-1,-1,AN{0..34} Usage:AN0..AN34,,,
PIC12CR509A,0,,1,,0,0,,41,5,0,4,,No,0,8,0,,0,0,,,2,,,,,0,0,-1,-1,,,,
PIC12F1501,0,,1,,128,0,16,64,6,4,20,16,No,0,8,0,,0,0,2,,16,32768,4,70:7F,_FOSC_INTOSC|OSCCON|2,0,0,16,16,AN{0..34} Usage:AN0..AN34,,,
PIC12F1571,0,,1,,128,0,16,128,6,4,32,32,No,0,8,0,PWM16Type=1,0,0,,,16,32768,4,70:7F,,0,0,16,16,AN{0..34} Usage:AN0..AN34,,,
PIC12F1572,0,,2,,128,0,16,256,6,4,32,32,No,1,8,0,PWM16Type=1,0,0,,,16,32768,4,70:7F,,0,0,16,16,AN{0..34} Usage:AN0..AN34,,,
PIC12F1612,0,,2,,128,0,16,256,6,4,32,32,No,0,8,0,,1,0,,,16,32768,4,70:7F,,0,0,16,16,AN{0..34} Usage:AN0..AN34,,,
